positionType,publishTime,peopleNum,positionlink,positionname,workLocation
设计类,2019-03-13,2,position_detail.php?id=48308&keywords=&tid=0&lid=0,RP-视觉设计师,深圳
技术类,2019-03-13,1,position_detail.php?id=48309&keywords=&tid=0&lid=0,31967-企鹅电竞Android开发工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48310&keywords=&tid=0&lid=0,31967-企鹅电竞iOS开发工程师,深圳
设计类,2019-03-13,1,position_detail.php?id=48311&keywords=&tid=0&lid=0,31967-企鹅电竞交互设计师,深圳
设计类,2019-03-13,1,position_detail.php?id=48312&keywords=&tid=0&lid=0,31967-企鹅电竞视觉设计师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48313&keywords=&tid=0&lid=0,PCG09-信息流产品垂类高级产品运营经理（ACG品类）,深圳
设计类,2019-03-13,1,position_detail.php?id=48303&keywords=&tid=0&lid=0,15602-高级UnrealEngine技术美术（深圳）,深圳
设计类,2019-03-13,1,position_detail.php?id=48304&keywords=&tid=0&lid=0,15602-妖尾手游3D动作设计师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48305&keywords=&tid=0&lid=0,PCG04-音视频测试开发（深圳）,深圳
市场类,2019-03-13,1,position_detail.php?id=48306&keywords=&tid=0&lid=0,25668-腾讯云市场高级商务拓展经理（深圳）,深圳
产品/项目类,2019-03-13,2,position_detail.php?id=48297&keywords=&tid=0&lid=0,31967-业务运营经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48298&keywords=&tid=0&lid=0,31967-企鹅电竞Web前端/UI开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48299&keywords=&tid=0&lid=0,31967-企鹅电竞高级产品策划经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48300&keywords=&tid=0&lid=0,31967-企鹅电竞后台开发工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48301&keywords=&tid=0&lid=0,31967-企鹅电竞高级后台开发工程师（深圳）,深圳
